,aclass,amount,asset,balance,fee,refid,time,type,subtype
69,currency,28.4600,ZGBP,28.0478,0.4200,TSHEP46-QRZTX-4JUILQ,2023-06-04 15:37:15.557070971,receive,
70,currency,-66.15694000,XXRP,700.00000202,0.00000000,TSHEP46-QRZTX-4JUILQ,2023-06-04 15:37:15.557065010,spend,
71,currency,639.24509000,XXRP,766.15694202,0.00000000,TSMS5S2-VGW3O-QFFRA2,2023-05-08 18:09:21.502208948,receive,
72,currency,-211.8500,ZGBP,0.0078,3.1800,TSMS5S2-VGW3O-QFFRA2,2023-05-08 18:09:21.502203941,spend,
73,currency,15.2300,ZGBP,215.0378,0.2300,TS26MTL-FIS5O-ZGR72E,2023-03-29 08:34:45.619014025,receive,
74,currency,-32.82170000,XXRP,126.91185202,0.00000000,TS26MTL-FIS5O-ZGR72E,2023-03-29 08:34:45.619009972,spend,
75,currency,199.8758,ZGBP,200.0378,0.5196,TSVTTR-VM5BP-44BB4H,2023-03-27 12:59:37.333776951,trade,tradespot
76,currency,-508.72462735,XXRP,159.73355202,0.00000000,TSVTTR-VM5BP-44BB4H,2023-03-27 12:59:37.333772898,trade,tradespot
77,currency,668.45817937,XXRP,668.45817937,0.00000000,TDMDKV-USYPR-54G5IN,2023-01-18 16:22:09.525471926,trade,tradespot
78,currency,-199.0000,ZGBP,0.6816,0.3184,TDMDKV-USYPR-54G5IN,2023-01-18 16:22:09.525468111,trade,tradespot
79,currency,200.0000,ZGBP,200.0000,0.0000,FTcZJ7K-yryGbLpDDMTQI8bt3NZMHr,2023-01-17 02:35:19.464037895,deposit,
