,date,close,balance_gbp,type,balance_xrp,total_gbp,buy_and_hold,returns,market_returns
109,2023-05-06,0.36417,215.0378,hold,126.91185202,261.2552891501234,231.21904761904761,-0.0029593149008152464,-0.01650102625040506
110,2023-05-07,0.35591,215.0378,hold,126.91185202,260.2069972524382,225.97460317460317,-0.004012519329638642,-0.022681714583848156
111,2023-05-08,0.33917,0.0078,buy,766.15694202,259.8652500249234,215.34603174603174,-0.0013133667853799658,-0.04703436261976346
112,2023-05-09,0.34022,0.0078,hold,766.15694202,260.66971481404437,216.01269841269846,0.003095699748403513,0.0030957926703425453
113,2023-05-10,0.34092,0.0078,hold,766.15694202,261.2060246734584,216.45714285714286,0.002057430644739844,0.0020574922109222182
114,2023-05-11,0.33708,0.0078,hold,766.15694202,258.2639820161016,214.0190476190476,-0.011263303214520959,-0.011263639563534045
115,2023-05-12,0.34579,0.0078,hold,766.15694202,264.93720898109575,219.54920634920634,0.025838782910805325,0.025839563308413416
116,2023-05-13,0.34188,0.0078,hold,766.15694202,261.9415353377976,217.0666666666667,-0.011307108030687907,-0.011307440932357693
117,2023-05-14,0.34186,0.0078,hold,766.15694202,261.92621219895716,217.05396825396826,-5.849831650661663e-05,-5.850005850016604e-05
118,2023-05-15,0.34083,0.0078,hold,766.15694202,261.1370705486766,216.40000000000003,-0.0030128395461280766,-0.00301292926929142
119,2023-05-16,0.35236,0.0078,hold,766.15694202,269.97086009016715,223.72063492063495,0.0338281712471149,0.03382918170348859
120,2023-05-17,0.35895,0.0078,hold,766.15694202,275.01983433807897,227.90476190476187,0.01870192303801055,0.01870246338971482
121,2023-05-18,0.37094,0.0078,hold,766.15694202,284.2060560728988,235.51746031746032,0.03340203355488636,0.03340298091656235
122,2023-05-19,0.37656,0.0078,hold,766.15694202,288.51185808705117,239.0857142857143,0.015150282417092376,0.015150698226128245
123,2023-05-20,0.37723,0.0078,hold,766.15694202,289.0251832382046,239.5111111111111,0.0017792168216481663,0.0017792649245802483
124,2023-05-21,0.36731,0.0078,hold,766.15694202,281.4249063733662,233.21269841269842,-0.02629624442993439,-0.02629695411287536
125,2023-05-22,0.37109,0.0078,hold,766.15694202,284.32097961420175,235.61269841269836,0.010290749593404369,0.010291034820723466
126,2023-05-23,0.37495,0.0078,hold,766.15694202,287.27834541039897,238.06349206349205,0.010401503962915726,0.01040178932334479
127,2023-05-24,0.36639,0.0078,hold,766.15694202,280.72004198670777,232.6285714285714,-0.02282909077021511,-0.02282971062808381
128,2023-05-25,0.36823,0.0078,hold,766.15694202,282.12977076002454,233.7968253968254,0.005021831584734349,0.005021971123666091
129,2023-05-26,0.3802,0.0078,hold,766.15694202,291.30066935600394,241.39682539682536,0.032505958415072866,0.032506857127338806
130,2023-05-27,0.38211,0.0078,hold,766.15694202,292.7640291152622,242.6095238095238,0.00502353723557647,0.005023671751709813
131,2023-05-28,0.39059,0.0078,hold,766.15694202,299.2610399835918,247.99365079365077,0.022191971083208806,0.02219256235115541
